timestamp,elapsed_sec,latency_ms,type
1767953912.0875893,268.70,0.53,send_ack_simulated
1767953912.0882378,268.70,0.66,send_ack_simulated
1767953912.0885882,268.70,0.75,send_ack_simulated
1767953912.088761,268.70,0.02,send_ack_simulated
1767953912.0890486,268.70,0.02,send_ack_simulated
1767953912.089245,268.70,0.32,send_ack_simulated
1767953912.089473,268.70,0.33,send_ack_simulated
1767953912.0897324,268.70,0.72,send_ack_simulated
1767953912.0900004,268.70,0.27,send_ack_simulated
1767953912.0902815,268.70,0.10,send_ack_simulated
1767953912.0905704,268.70,0.10,send_ack_simulated
1767953912.090814,268.70,0.13,send_ack_simulated
1767953912.0911734,268.70,0.03,send_ack_simulated
1767953940.0986276,296.71,0.48,send_ack_simulated
1767953940.1002212,296.71,0.74,send_ack_simulated
1767953940.1014335,296.71,1.77,send_ack_simulated
1767953940.1017063,296.71,0.47,send_ack_simulated
1767953940.1021504,296.71,0.74,send_ack_simulated
1767953940.1022909,296.71,0.01,send_ack_simulated
1767953940.102471,296.71,0.28,send_ack_simulated
1767953940.1026733,296.71,0.03,send_ack_simulated
1767953940.1028993,296.71,0.11,send_ack_simulated
1767953940.1030674,296.71,0.01,send_ack_simulated
1767953940.1033099,296.71,0.02,send_ack_simulated
1767953968.1089993,324.72,0.07,send_ack_simulated
1767953968.1104646,324.72,0.35,send_ack_simulated
1767953968.111956,324.72,0.02,send_ack_simulated
1767953968.1122937,324.72,0.08,send_ack_simulated
1767953968.1126435,324.72,0.35,send_ack_simulated
1767953968.112912,324.72,0.29,send_ack_simulated
1767953968.1132364,324.72,0.02,send_ack_simulated
1767953968.1136155,324.72,0.39,send_ack_simulated
1767953968.1139638,324.72,0.05,send_ack_simulated
1767953968.114336,324.72,0.57,send_ack_simulated
1767953968.1147354,324.72,0.05,send_ack_simulated
1767953968.1150591,324.72,0.06,send_ack_simulated
1767953996.1239145,352.73,0.02,send_ack_simulated
1767953996.1254613,352.73,0.17,send_ack_simulated
1767953996.1263976,352.73,0.57,send_ack_simulated
1767953996.1267035,352.74,0.02,send_ack_simulated
1767953996.1269705,352.74,0.05,send_ack_simulated
1767953996.127311,352.74,0.02,send_ack_simulated
1767953996.1274984,352.74,0.04,send_ack_simulated
1767954024.1380043,380.75,1.37,send_ack_simulated
1767954024.1395154,380.75,0.08,send_ack_simulated
1767954024.1421309,380.75,1.77,send_ack_simulated
1767954024.142869,380.75,0.87,send_ack_simulated
1767954024.1433415,380.75,0.44,send_ack_simulated
1767954024.143725,380.75,0.03,send_ack_simulated
1767954024.1440215,380.75,1.24,send_ack_simulated
1767954024.1442134,380.75,0.40,send_ack_simulated
1767954024.144444,380.75,0.36,send_ack_simulated
1767954024.1446543,380.75,0.39,send_ack_simulated
1767954024.1451943,380.75,0.03,send_ack_simulated
1767954024.1454465,380.75,0.21,send_ack_simulated
1767954024.145656,380.75,0.03,send_ack_simulated
1767954024.145866,380.75,0.23,send_ack_simulated
1767954052.1537337,408.76,0.65,send_ack_simulated
1767954052.1544504,408.76,0.06,send_ack_simulated
1767954052.1547744,408.76,0.01,send_ack_simulated
1767954052.155008,408.76,0.21,send_ack_simulated
1767954052.1552522,408.76,0.09,send_ack_simulated
1767954080.1621192,436.77,0.57,send_ack_simulated
1767954080.1629343,436.77,0.25,send_ack_simulated
1767954080.163927,436.77,0.30,send_ack_simulated
1767954080.1649823,436.77,1.01,send_ack_simulated
1767954080.1653364,436.77,0.02,send_ack_simulated
1767954080.1654842,436.77,0.19,send_ack_simulated
1767954080.1656365,436.77,1.25,send_ack_simulated
1767954080.1659145,436.77,0.03,send_ack_simulated
1767954080.1662092,436.77,0.52,send_ack_simulated
1767954080.166404,436.77,0.01,send_ack_simulated
1767954080.166597,436.77,0.07,send_ack_simulated
1767954108.1711392,464.78,0.10,send_ack_simulated
1767954108.1724398,464.78,0.36,send_ack_simulated
1767954108.1738272,464.78,0.01,send_ack_simulated
1767954108.175146,464.78,0.02,send_ack_simulated
1767954108.1755443,464.78,0.62,send_ack_simulated
1767954108.1759772,464.78,0.25,send_ack_simulated
1767954108.1761138,464.78,0.01,send_ack_simulated
1767954136.1853082,492.79,0.11,send_ack_simulated
1767954136.186912,492.80,0.07,send_ack_simulated
1767954136.1882176,492.80,1.29,send_ack_simulated
1767954136.1884496,492.80,0.04,send_ack_simulated
1767954136.1889253,492.80,0.67,send_ack_simulated
1767954136.1892433,492.80,0.24,send_ack_simulated
1767954136.189577,492.80,0.73,send_ack_simulated
1767954136.189776,492.80,0.29,send_ack_simulated
1767954136.1899498,492.80,0.02,send_ack_simulated
1767954136.1902046,492.80,0.80,send_ack_simulated
1767954164.201747,520.81,0.05,send_ack_simulated
1767954164.204344,520.81,0.37,send_ack_simulated
1767954164.2050712,520.81,0.03,send_ack_simulated
1767954164.205518,520.81,0.47,send_ack_simulated
1767954164.2057402,520.81,0.32,send_ack_simulated
1767954164.2060223,520.81,0.08,send_ack_simulated
