timestamp,scenario,duration_sec,status
1767937829.352368,split_brain,120.00,PASS
1767937858.0897648,split_brain,10.00,PASS
1767947671.88506,split_brain,60.00,PASS
1767947759.0558746,disk_pressure,60.00,PASS
1767947852.8356788,oom_survival,60.00,WARNING
1768134581.4152918,split_brain,60.00,PASS
1768134657.5400128,disk_pressure,60.00,PASS
1768134742.916357,oom_survival,60.00,WARNING
1768137237.013061,split_brain,60.00,PASS
1768137308.1223578,disk_pressure,60.00,PASS
1768137379.8821533,oom_survival,60.00,PASS
1768140865.7478821,split_brain,60.00,PASS
1768140936.7465715,disk_pressure,60.00,PASS
1768141008.3854625,oom_survival,60.00,PASS
1768236896.4748275,split_brain,60.00,PASS
1768236968.656284,disk_pressure,60.00,PASS
1768237041.375601,oom_survival,60.00,PASS
1768237251.0541143,split_brain,60.00,PASS
1768237323.325735,disk_pressure,60.00,PASS
1768237396.4649818,oom_survival,60.00,PASS
1768272921.4425898,split_brain,60.00,PASS
1768272995.0395088,disk_pressure,60.00,PASS
1768273069.7108855,oom_survival,60.00,PASS
1768275944.1455772,split_brain,60.00,PASS
1768276017.6059144,disk_pressure,60.00,PASS
1768276092.2553756,oom_survival,60.00,PASS
1768277698.6491044,split_brain,60.00,PASS
1768277772.3211007,disk_pressure,60.00,PASS
1768277846.9177725,oom_survival,60.00,PASS
1768283794.012592,split_brain,60.00,PASS
1768283867.6831045,disk_pressure,60.00,PASS
1768283942.2633834,oom_survival,60.00,PASS
1768284192.8261952,split_brain,60.00,PASS
1768284266.3420594,disk_pressure,60.00,PASS
1768284341.0343173,oom_survival,60.00,PASS
1768286876.1673856,split_brain,60.00,PASS
1768286950.0341902,disk_pressure,60.00,PASS
1768287024.9045997,oom_survival,60.00,PASS
1768400820.000837,split_brain,60.00,PASS
1768400893.7335534,disk_pressure,60.00,PASS
1768400968.1568868,oom_survival,60.00,PASS
