timestamp,elapsed_sec,ram_mb,procs,cpu_percent
1767952727.9767642,24.60,1263.69140625,96681,0
1767952739.2295437,35.85,819.80078125,0,0
1767952750.473711,47.09,0,0,0
1767952761.6910088,58.31,74.2734375,290,0
1767952772.93816,69.56,74.2734375,290,0
1767952784.1620681,80.78,74.4609375,300,0
1767952795.3930075,92.01,74.4609375,290,0
1767952806.6320212,103.25,74.4609375,290,0
1767952817.904678,114.52,74.4609375,290,0
1767952829.1381593,125.76,74.4609375,290,0
1767952840.3677201,136.99,74.6484375,300,0
1767952851.614042,148.23,74.6484375,290,0
1767952862.8685875,159.49,74.6484375,290,0
1767952874.0969293,170.72,74.6484375,290,0
1767952885.291793,181.91,74.6484375,290,0
1767952896.5078802,193.13,74.6484375,300,0
1767952907.7691169,204.39,74.6484375,290,0
1767952918.9849136,215.60,74.6484375,290,0
1767952930.2007685,226.82,74.8359375,290,0
1767952941.4422429,238.06,74.8359375,290,0
1767952952.6998649,249.32,74.8359375,300,0
1767952963.924573,260.54,74.8359375,290,0
1767952975.145192,271.76,74.8359375,290,0
1767952986.3858445,283.00,74.8359375,290,0
1767952997.6337278,294.25,74.8359375,290,0
1767953008.8741894,305.49,75.0234375,300,0
1767953020.1092603,316.73,75.0234375,290,0
1767953031.3956375,328.01,75.0234375,290,0
1767953042.6364233,339.25,75.2109375,290,0
1767953053.8998847,350.52,75.2109375,290,0
1767953065.1230845,361.74,75.2109375,300,0
1767953076.3791597,373.00,75.2109375,290,0
1767953087.5693765,384.19,75.2109375,290,0
1767953098.802392,395.42,75.2109375,290,0
1767953110.0171862,406.64,75.2109375,290,0
1767953121.2400935,417.86,75.2109375,300,0
1767953132.4413147,429.06,75.2109375,290,0
1767953143.6379025,440.26,75.2109375,290,0
1767953154.8796444,451.50,75.2109375,290,0
1767953166.0943465,462.71,75.2109375,290,0
1767953177.3569937,473.98,75.2109375,300,0
1767953188.5854664,485.20,75.2109375,290,0
1767953199.8051796,496.42,75.2109375,290,0
1767953211.0379307,507.66,75.2109375,290,0
1767953222.2671707,518.89,75.2109375,290,0
1767953233.4739249,530.09,75.2109375,300,0
1767953244.7038186,541.32,75.2109375,290,0
1767953255.964981,552.58,75.2109375,290,0
1767953267.1747544,563.79,75.2109375,290,0
1767953278.38642,575.00,75.2109375,290,0
1767953289.6714284,586.29,75.2109375,300,0
1767953300.8465786,597.46,75.2109375,290,0
1767953312.0769463,608.70,75.2109375,290,0
1767953323.326207,619.94,75.2109375,290,0
